no;kdprov;kdkab;nama_perusahaan;alamat;kdprovkab;lblkab;kawasan_fasih;nama_kawasan;kawasan
427;21;71;NISSIN KOGYO BATAM, PT;JL. ANGSANA LOT 284 BIP;;;;;Kawasan Industri
428;21;71;IEG OILFIELD INDONESIA;;;;;;Kawasan Industri
429;21;71;PRISLED INNOVATIVE LIGHTING INDONESIA;;;;;;Kawasan Industri
430;21;71;EXCELITAS TECHNOLOGIES BATAM;KOMPLEK BATAMINDO INDUSTRIAL PARK JL. BERINGIN LOT. 207, 209 DAN 238;2171;[71] B A T A M;Kawasan Industri;Batamindo Industrial Park;Kawasan Industri
431;21;71;TDK ELECTRONICS INDONESIA, PT;JALAN EPCOS JAYA, PANBIL INDUSTRI BLOCK B1-10 PULAU BATAM 29433, INDONESIA;2171;[71] B A T A M;Kawasan Industri;Panbil Industrial Estate;Kawasan Industri
432;21;71;BUMI PERSADA LOGAM;KAWASAN INDUSTRI CITRA TUBINDO KOMPLEK RUKO CITRA NUSA NIAGA BLOK E1 NO 02;;;;;Kawasan Industri
433;21;71;SCHNEIDER MANUFACTURING BATAM, PT;;;;;;Kawasan Industri
434;21;71;DINASIRA SEMBADA;KAWASAN INDUSTRI TUNAS BIZPARK TIPE 11-Q;;;;;Kawasan Industri
435;21;71;CHANDRA INOVASI PERSADA TRI ABADI;;;;;;Kawasan Industri
436;21;71;DIMENSI SURYA BAHARI;KAWASAN INDUSTRI TANJUNG UNCANG, JL. BRIGJEN KATAM;;;;;Kawasan Industri
437;21;71;VINNEX COATINDO;;;;;;Kawasan Industri
438;21;71;MULIA CLEANTECH INDONESIA;;;;;;Kawasan Industri
439;21;71;CIPTA NIAGA SEMESTA, PT;;;;;;Kawasan Industri
440;21;71;KREASI MEGAH KONSTRUKSI;KAWASAN INDUSTRI TUNAS 2 TYPE 3-I;;;;;Kawasan Industri
441;21;71;NDEXINDO MANDIRI INDONESIA, PT;;;;;;Kawasan Industri
442;21;71;CASCO SEA;;;;;;Kawasan Industri
443;21;71;LUO SHIPYARD;JL. BRIGJEND. KATAMSO KAWASAN INDUSTRI TANJUNG UNCANG, BATAM;;;;;Kawasan Industri
444;21;71;PT WIRARAJA TANGGUH;JL. WIRARAJA INDUSTRIAL BLOK A NO. 5 PUNGGUR, KOTA BATAM, PROVINSI KEPULAUAN RIAU;;;;;Kawasan Industri
445;21;71;SINDO MEGAH LESTARI;KOMPLEK SARANA INDUSTRIAL POINT BLOK A NO. 2;2171;[71] B A T A M;Kawasan Industri;Sarana Industrial Point;Kawasan Industri
446;21;71;PT SEKUPANG MAKMUR ABADI (#101);JL. RE MARTADINATA NO. 1, TANJUNG PINGGIR - SEKUPANG;;;;;Kawasan Industri
447;21;71;PT BATAMINDO SERVICES SININDO;LOT 297, JALAN BUNGUR, BATAMINDO INDUSTRIAL PARK, DESA/KELURAHAN MUKA KUNING, KEC. SEI BEDUK, KOTA BATAM, PROVINSI KEPULAUAN RIAU, KODE POS : 29433;;;;;Kawasan Industri
448;21;71;MAATS BATAM, PT;;;;;;Kawasan Industri
449;21;71;MEGAH SARANA ASIA;KAWASAN INDUSTRI TUNAS 2;;;;;Kawasan Industri
450;21;71;SHIMANO BATAM, PT;PANBIL INDUSTRIAL ESTATE FACTORY A LOT. 10-19 MUKAKUNING, 29433;;;;;Kawasan Industri
451;21;71;IKM INDONESIA;KAWASAN INDUSTRI TUNAS 2 TIPE 8-A;;;;;Kawasan Industri
452;21;71;TASATE INOVASI INDONESIA;KAWASAN INDUSTRI TUNAS BIZPARK BLOK E NO. 12;;;;;Kawasan Industri
453;21;71;LB TECHNOLOGIES BATAM, PT;;;;;;Kawasan Industri
454;21;71;PT. PRIMA PROPERTINDO UTAMA (#214);;;;;;Kawasan Industri
455;21;71;VRIES MARINE OFFSHORE SERVICES;KAWASAN INDUSTRI SEKUPANG TANJUNG RIAU;;;;;Kawasan Industri
456;21;71;EKADHARMA INTERNATIONAL TBK.;KAWASAN INDUSTRIAL TUNAS 2;;;;;Kawasan Industri
457;21;71;LA ENGINEERING;KAWASAN INDUSTRI SHIPYARD;;;;;Kawasan Industri
458;21;71;BUMI NATURA INDONESIA;;;;;;Kawasan Industri
459;21;71;YING MEI INDOTOBACCO INTERNATIONAL;;;;;;Kawasan Industri
460;21;71;WIKFAR EAST BATAM, PT;PANBIL INDUSTRIAL ESTATE FACTORY A LOT 5-9;;;;;Kawasan Industri
461;21;71;WARLBOR INTERNATIONAL INDONESIA;KAWASAN INDUSTRI TUNAS KABIL TYPE 5-D. - 5-D1;;;;;Kawasan Industri
462;21;71;TUNAS INTERIOR BATAM;BATAM EXECUTIVE CENTRE BLOK 8 NO.01-03;;;;;Kawasan Industri
463;21;71;PLASSTANGAS INDAH;KAWASAN INDUSTRI SEKUPANG SAMPING ISTAKA KARYA, TANJUNG RIAU;;;;;Kawasan Industri
464;21;71;GOLD FIFTY ONE;KAWASAN INDUSTRI SUNGAI HARAPAN SEKUPANG;;;;;Kawasan Industri
465;21;71;BUANA CIPTA MANDALA;JALAN HANG KESTURI KABIL INDUSTRIAL MARINE & OFFSHORE COMPLEX;;;;;Kawasan Industri
466;21;71;BLACKMAGIC DESIGN MANUFACTURING;LOT 213 JL BERINGIN, LOT 283 JL ANGSANA, JALA GAHARU BATAMINDO;2171;[71] B A T A M;Kawasan Industri;Batamindo Industrial Park;Kawasan Industri
467;21;71;TONGFONG INDONESIA;KAWASAN INDUSTRI SEKUPANG;;;;;Kawasan Industri
468;21;71;CITRA SUBLINDO ADITAMA;;;;;;Kawasan Industri
469;21;71;TOPFORM INDUSTRIES INDONESIA;;;;;;Kawasan Industri
470;21;71;INDOSTAR BULKBAGS TECHNOLOGY;;;;;;Kawasan Industri
471;21;71;PT BATAMINDO INVESTMENT CAKRAWALA;JL. RASAMALA NO.1, MUKA KUNING, KEC. SEI BEDUK, KOTA BATAM, KEPULAUAN RIAU 29433;;;;;Kawasan Industri
472;21;71;PT. PANCA MITRA NIAGA;HIJRAH INDUSTRIAL ESTATE BLOK B NO. 01 TAMAN BALOI, BATAM KOTA, KOTA BATAM, KEPRI;;;;;Kawasan Industri
473;21;71;IWW KINETIK ENERGI;;;;;;Kawasan Industri
474;21;71;INOFAB;;;;;;Kawasan Industri
475;21;71;SUNRISE TECHNOLOGY BATAM;KOMPLEK UNION INDUSTRIAL PARK BLOK E NO. 3;2171;[71] B A T A M;Kawasan Industri;Union Industrial Park;Kawasan Industri
476;21;71;BATARA INDAH MULIA;;;;;;Kawasan Industri
477;21;71;EAST PLASTIC BATAMINDO;;;;;;Kawasan Industri
478;21;71;PT KEDAUNG MEDAN;KAWASAN INDUSTRI SEKUPANG;;;;;Kawasan Industri
479;21;71;XINHE PLASTIC SILICONE;KAWASAN BINTANG INDUSTRIAL PARK II TYPE B NO. 301-305;2171;[71] B A T A M;Kawasan Industri;Bintang Industrial Park;Kawasan Industri
480;21;71;KLM MAJU JAYA;KAWASAN INDUSTRI KAVLING NO.3, TANJUNG PINGGIR;;;;;Kawasan Industri
481;21;71;CIRCUITS MICROELECTRONICS;KAWASAN INDUSTRI SEKUPANG BUSSINES CENTRE, TANJUNG RIAU;;;;;Kawasan Industri
482;21;71;PT. PERTAMA SARANA UNGGULAN (#100);;;;;;Kawasan Industri
483;21;71;BEST STAINLESS STEEL CORP;KAWASAN INDUSTRIAL TUNAS 2 TYPE 5-F;;;;;Kawasan Industri
484;21;71;BATAMITRA SEJAHTERA;;;;;;Kawasan Industri
485;21;71;PT SIGMA UNITED INTERNATIONAL;JLN. HANG KESTURI NO.1 TAIWAN INTERNATIONAL PARK, KABIL - BATAM;;;;;Kawasan Industri
486;21;71;ETHIC FOOD, PT;KAWASAN CAMMO INDUSTRIAL PARK BLOK G NO 13A BATAM CENTER;;;;;Kawasan Industri
487;21;71;HENG GUAN BATAM INDUSTRIES, PT;KAWASAN INDUSTRI SEKUPANG;;;;;Kawasan Industri
488;21;71;GAJAH IZUMI MAS PERKASA, PT;HIJRAH INDUSTRIAL ESTATE BLOK A1;2171;[71] B A T A M;Kawasan Industri;Hijrah Industrial Park;Kawasan Industri
489;21;71;EUSUN TECHNOLOGY BATAM, PT;;;;;;Kawasan Industri
490;21;71;GHIM LI INDONESIA, PT;;;;;;Kawasan Industri
491;21;71;WAHANA TIRTA MILENIA, PT;;;;;;Kawasan Industri
492;21;71;TECKWAH PAPER PRODUCTS INDONESIA, PT;JALAN BERINGIN LOT 268-268,318-320, BIP BATAMINDO;;;;;Kawasan Industri
493;21;71;CHENG HENG PAPER PRODUCTS, PT;;;;;;Kawasan Industri
494;21;71;ASIA PAPERINDO PERKASA, PT;JL ENGKU PUTRI KAWASAN TUNAS INDUSTRIAL ESTATE TYPE 5D;2171;[71] B A T A M;Kawasan Industri;Tunas Industrial Estate;Kawasan Industri
495;21;71;JAPAN MEDICAL SUPPLY BATAM, PT;;;;;;Kawasan Industri
496;21;71;BIOWORLD BIOSCIENCES MANUFACTURING IND;LATRADE INDUSTRIAL PARK BLOK H-01;;;;;Kawasan Industri
497;21;71;NATIONAL INDUSTRIAL GASES INDONESIA, PT;JL. BRIGJEND. KATAMSO BINTANG INDUSTRIAL PARK II LOT 1-3;2171;[71] B A T A M;Kawasan Industri;Bintang Industrial Park;Kawasan Industri
498;21;71;HLN BATAM, PT;;;;;;Kawasan Industri
499;21;71;SANWA ENGINEERING BATAM, PT;JALAN BERINGIN LOT 215A/B;2171;[71] B A T A M;Kawasan Industri;Batamindo Industrial Park;Kawasan Industri
500;21;71;UNION PLASTICS INDUSTRIES, PT;;;;;;Kawasan Industri
501;21;71;SANSYU PRECISION BATAM, PT;JALAN DELIMA LOT 513A;;;;;Kawasan Industri
502;21;71;DOELLKEN BINTAN, PT;KAWASAN PANBIL INDUSTRIAL ESTATE TYOE C2 LOT 2;2171;[71] B A T A M;Kawasan Industri;Panbil Industrial Estate;Kawasan Industri
503;21;71;RPC INDONESIA, PT;JL RE MARTADINATA SEKUPANG;;;;;Kawasan Industri
504;21;71;ETOWA PACKAGING INDONESIA, PT;JL. A. YANI FACTORY TYPE B3 LOT 6-7 PANBIL;;;;;Kawasan Industri
505;21;71;INDOPACK INDUSTRIES BATAM, PT;;;;;;Kawasan Industri
506;21;71;SLG REKATAMA, PT;;;;;;Kawasan Industri
507;21;71;HAYASHI INDO DINAMIKA, PT;;;;;;Kawasan Industri
508;21;71;TRIPLUS HITECH, PT;;;;;;Kawasan Industri
509;21;71;METRICPACK MANDIRI, PT;;;;;;Kawasan Industri
510;21;71;KARYA CELCON PARAMA AERATED CONCRETE,;KAWASAN INDUSTRI SEKUPANG KAV NO.3;;;;;Kawasan Industri
511;21;71;PT. H-TECH OIFLIELD EQUIPMENT;JL. HANG KESTURI VI NO 11, KAWASAN INDUSTRI TERPADU KABIL, NONGSA, BATAM;;;;;Kawasan Industri
512;21;71;HYDRIL INDONESIA, PT;JL. HANG KESTURI KM 1 KAV 23;;;;;Kawasan Industri
513;21;71;BREDERO SHAW INDONESIA, PT;JLN HANG KESTURI I NO.14;2171;[71] B A T A M;Kawasan Industri;Kawasan Industri Terpadu Kabil (KITK);Kawasan Industri
514;21;71;TAKAMORI INDONESIA, PT;;;;;;Kawasan Industri
515;21;71;NEJILOCK TECHNOLOGYNDO, PT;;;;;;Kawasan Industri
516;21;71;SINOMETAL STAMPING TECHNOLOGI BATAM, P;;;;;;Kawasan Industri
517;21;71;FLUID SCIENCES BATAM, PT;JLN. DELIMA LOT 512 - 513 KAWASAN INDUSTRI BATAMINDO;2171;[71] B A T A M;Kawasan Industri;Batamindo Industrial Park;Kawasan Industri
518;21;71;SUN PRECISION ENGINEERING INDONESIA, P;KAWASAN BINTANG INDUSTRI II BLOK C NO 5;;;;;Kawasan Industri
519;21;71;ASAHI SPRAY PAINTING, PT;;;;;;Kawasan Industri
520;21;71;SUPRA TEKNOLOGI PLASTIK, PT;BATU AMPAR INDUSTRIAL ESTATE, JL. TODAK NO 3A;;;;;Kawasan Industri
521;21;71;BAKTI TANI NUSANTARA, PT;JL. ENGKU PUTRI KAWASAN INDUSTRI TUNAS;;;;;Kawasan Industri
522;21;71;REACS PRECISION BATAM, PT;TUNAS INDUSTRIAL ESTATE BLOK 1D;;;;;Kawasan Industri
523;21;71;TECHMICRON, PT;;;;;;Kawasan Industri
524;21;71;PANASONIC ELECTRONIC DEVICES BATAM, PT;;;;;;Kawasan Industri
525;21;71;TEC INDONESIA, PT;JL. RANDU LOT 108-110, BATAMINDO INDUSTRIAL PARK, MUKA KUNING, DESA/KELURAHAN MUKA KUNING, KEC. SEI BEDUK, KOTA BATAM, PROVINSI KEPULAUAN RIAU, KODE POS: 29433;;;;;Kawasan Industri
526;21;71;RUBYCON INDONESIA, PT;;;;;;Kawasan Industri
527;21;71;EPSON BATAM, PT;BATAMINDO INDUSTRIAL PARK, JL. RAMBUTAN LOT NO.504-510 & 530, BATAM;2171;[71] B A T A M;Kawasan Industri;Batamindo Industrial Park;Kawasan Industri
528;21;71;INFINEON TECHNOLOGIES, PT;;;;;;Kawasan Industri
529;21;71;MARUWA INDONESIA, PT;;;;;;Kawasan Industri
530;21;71;TEAM-METAL INDONESIA, PT;;;;;;Kawasan Industri
531;21;71;PT SURYA TEKNOLOGI BATAM;JLN. BERINGIN LOT 312 ? 313 BATAMINDO INDUSTRIAL PARK, KOTA BATAM, KEPULAUAN RIAU;2171;[71] B A T A M;Kawasan Industri;Batamindo Industrial Park;Kawasan Industri
532;21;71;PT. EX BATAM INDONESIA;JL. BERINGIN LOT 216, KAWASAN INDUSTRI BATAMINDO MUKAKUNING, KEL. MUKA KUNING, KEC. SEI BEDUK, KOTA BATAM, PROP. KEPULAUAN RIAU;2171;[71] B A T A M;Kawasan Industri;Batamindo Industrial Park;Kawasan Industri
533;21;71;PRIMO MICROPHONES INDONESIA, PT;;;;;;Kawasan Industri
534;21;71;LABTECH PENTA INTERNATIONAL, PT;KAWASAN INDUSTRI SEKUPANG KAV. 34;;;;;Kawasan Industri
535;21;71;TECTRON MANUFACTURING, PT;;;;;;Kawasan Industri
536;21;71;UCONNECT ELECTRONICS, PT;EXECUTIVE INDUSTRIAL PARK BLOK D1 NO 5;;;;;Kawasan Industri
537;21;71;OSI ELECTRONICS, PT;;;;;;Kawasan Industri
538;21;71;PT. JOVAN TECHNOLOGIES;KOMP. UNION INDUSTRIAL PARK BLOK B1 NO. 1-2 KELURAHAN : TANJUNG SENGKUANG, KECAMATAN : BATU AMPAR;;;;;Kawasan Industri
539;21;71;HO WAH GENTING, PT;;;;;;Kawasan Industri
540;21;71;VOLEX BATAM INDAH, PT/VOLEX INDONESIA,;JL. IR SUTAMI KAWASAN INDUSTRI SEKUPANG 6 BATAM;;;;;Kawasan Industri
541;21;71;PT APOLLO ANEKA PERSADA;KAWASAN KARA INDUSTRIAL PARK BLOK C4 NO 2 BATAM CENTRE;2171;[71] B A T A M;Kawasan Industri;Kara Industrial Park;Kawasan Industri
542;21;71;PATLITE INDONESIA, PT;JL. BERINGIN LOT 321 BIP;;;;;Kawasan Industri
543;21;71;PHILIPS INDUSTRIES BATAM, PT;;;;;;Kawasan Industri
544;21;71;TOMOE VALVE BATAM, PT;LATRADE INDUSTRIAL PARK BLOK F2, JL. SEI BINTI;2171;[71] B A T A M;Kawasan Industri;Kawasan Industri Latrade;Kawasan Industri
545;21;71;TROPICAL ELECTRONIC, PT;JL. AHMAD YANI, LOT 4 PANBIL INDUSTRIAL ESTATE;;;;;Kawasan Industri
546;21;71;NOK FREUDENBERG SEALING TECHNOLOGIES, PT;;;;;;Kawasan Industri
547;21;71;NONGSA JAYA BUANA, PT;KAWASAN INDUSTRI SEKUPANG KAV.2;;;;;Kawasan Industri
548;21;71;CIBA VISION BATAM, PT;;;;;;Kawasan Industri
549;21;71;LKD MULTI INDUSTRI, PT;;;;;;Kawasan Industri
550;21;71;DAIHAN LABTECH, PT;JL. BERINGIN LOT. 322 BIP MUKA KUNING;2171;[71] B A T A M;Kawasan Industri;Batamindo Industrial Park;Kawasan Industri
551;21;71;INZIGN, PT;;;;;;Kawasan Industri
552;21;71;ABLY METAL INDONESIA, PT;JL. MAS SURYA NEGARA KAV-1B NO.12 KAWASAN INDUSTRI KABIL;2171;[71] B A T A M;Kawasan Industri;Kawasan Industri Terpadu Kabil (KITK);Kawasan Industri
553;21;71;HAB BATAM CARTONS, PT;;;;;;Kawasan Industri
554;21;71;SUMITOMO WIRING SYSTEM BATAM INDONESIA;JL. BERINGIN LOT 8, MUKAKUNING;;;;;Kawasan Industri
555;21;71;HANG FUNG METAL INDONESIA;PANTAI TIMUR KAWASAN INDUSTRI KABIL;;;;;Kawasan Industri
556;21;71;AOHAI TECHNOLOGY INDONESIA;;;;;;Kawasan Industri
557;21;71;ASIATEC RECYCLINDO PT;CITRA BUANA INDUSTRIAL PARK III LOT.35 BATAM CENTER;;;;;Kawasan Industri
558;21;71;WISDOM LIGHT INDONESIA;;;;;;Kawasan Industri
559;21;71;SIMATELEX MANUFACTORY BATAM, PT;;;;;;Kawasan Industri
560;21;71;KIM SEAH SHIPYARD INDONESIA;KAWASAN INDUSTRI SEKUPANG JL. KAMPUNG BARU NO. 61;;;;;Kawasan Industri
561;21;71;KIZOKU;;;;;;Kawasan Industri
562;21;71;GEMBIRA;;;;;;Kawasan Industri
563;21;71;ENERCO RPO INTERNASIONAL;JL. H. ANWAR HIPPY NO. 18, KAWASAN INDUSTRI TERPADU KABIL;2171;[71] B A T A M;Kawasan Industri;Kawasan Industri Terpadu Kabil (KITK);Kawasan Industri
564;21;71;PT PTEC RESEARCH AND DEVELOPMENT;KAWASAN INDUSTRI TERPADU KABIL, JALAN HANG KESTURI II NOMOR 7, DESA/KELURAHAN BATU BESAR, KEC. NONGSA, KOTA BATAM, PROVINSI KEPULAUAN RIAU, KODE POS: 29467;;;;;Kawasan Industri
565;21;71;INDO GLOBAL PERKASA;;;;;;Kawasan Industri
566;21;71;PACIFIC ATLANTIC SHIPYARD;KAWASAN INDUSTRI TANJUNG RIAU;;;;;Kawasan Industri
567;21;71;BUMI LESTARI KENCANA PUSAKA;KAWASAN EXECUTIVE INDUSTRIAL PARK C1 NO 8;2171;[71] B A T A M;Kawasan Industri;Executive Industrial Park;Kawasan Industri
568;21;71;MITRA KARYA SARANA;;;;;;Kawasan Industri
569;21;71;SCANJET PRODUCTION INDAH;;;;;;Kawasan Industri
570;21;71;GLOBAL PACKAGING BATAM;JL. RAJA ISA KAWASAN INDUSTRI TUNAS BIZPARK TYPE 11H DAN 11G;;;;;Kawasan Industri
571;21;71;EASTSUN;;;;;;Kawasan Industri
572;21;71;MARUHO HATSUJYO BATAM, PT;;;;;;Kawasan Industri
573;21;71;TAT SENG TEKNOLOGI BATAM;TUNAS INDUSTRIAL ESTATE BLOK 4J;;;;;Kawasan Industri
574;21;71;INFINITY PACKAGING SOLUTIONS;;;;;;Kawasan Industri
575;21;71;MAKMUR TEMBAKAU INTERNASIONAL;KAWASAN UNION INDUSTRIAL PARK BLOK H NO. 12B DAN BLOK A NO. 6, JL. YOS SUDARSO;2171;[71] B A T A M;Kawasan Industri;Union Industrial Park;Kawasan Industri
576;21;71;GEMAH NUSANTARA JAYA PT;;;;;;Kawasan Industri
577;21;71;ANSHA INDO FILTER;;;;;;Kawasan Industri
578;21;71;PT. FANTASTIK INTERNASIONAL;JL. ENGKU PUTRI, TUNAS INDUSTRIAL ESTATE TYPE 2-X BELIAN BATAM KOTA;2171;[71] B A T A M;Kawasan Industri;Tunas Industrial Estate;Kawasan Industri
579;21;71;HONGYUAN NEW MATERIAL INDONESIA;KAWASAN INDUSTRI SEI PELUNGGUT, DAPUR 12, SAGULUNG;;;;;Kawasan Industri
580;21;71;SOXAL BATAMINDO INDUSTRIAL GASES;;;;;;Kawasan Industri
581;21;71;GLOPACK PACKAGING;KARA INDUSTRIAL PARK BLOK A NO.71;;;;;Kawasan Industri
582;21;71;COMAC MULTI INDUSTRI;JL. YOS SUDARSO, UNION INDUSTRIAL PARK BLOCK D NO. 3A;;;;;Kawasan Industri
583;21;71;BOILERTECH INDONESIA;;;;;;Kawasan Industri
584;21;71;GOODWILL;CITRA BUANA INDUSTRIAL PARK III LOT 6;;;;;Kawasan Industri
585;21;71;LEON TEKNOLOGI GLOBAL;;;;;;Kawasan Industri
586;21;71;PROFESSIONAL TECHNOLOGY SPECIALIST;;;;;;Kawasan Industri
587;21;71;GETA INDONESIA;KOMPLEK UNION INDUSTRIAL PARK BLOK E NO. 01 BATU AMPAR;2171;[71] B A T A M;Kawasan Industri;Union Industrial Park;Kawasan Industri
588;21;71;ARAKANMARINE AUTOMATION;BINTANG INDUSTRIAL PARK II, LOT E NO.731-732;2171;[71] B A T A M;Kawasan Industri;Bintang Industrial Park;Kawasan Industri
589;21;71;METALINE TECHNOLOGY INDONESIA;;;;;;Kawasan Industri
590;21;71;JASA INDUSTRIAL BRUSHWARE ASIA PACIFIC;JL. RANDU LOT 112-BATAMINDO INDUSTRIAL PARK;;;;;Kawasan Industri
591;21;71;PEGAUNIHAN TECHNOLOGY INDONESIA, PT;JALAN MARKISA LOT 127-138, KAWASAN INDUSTRI BATAMINDO;2171;[71] B A T A M;Kawasan Industri;Batamindo Industrial Park;Kawasan Industri
592;21;71;ONEBERRY TECHNOLOGIES INDONESIA;;;;;;Kawasan Industri
593;21;71;ALLBEST MARINE;KAWASAN INDUSTRIAL PARK II LOT D NO.56;;;;;Kawasan Industri
594;21;71;KARTINBA INDAH, PT;;;;;;Kawasan Industri
595;21;71;BROAD FAR INDONESIA, PT;KAWASAN INDUSTRI TUNAS KABIL TYPE 2B, KEL. KABIL;;;;;Kawasan Industri
596;21;71;MEITUO METAL RESOURCES, PT;JL. HANG KESTURI BLOK E NO. 20;;;Kawasan Industri;Kawasan Industri Taiwan International Park;Kawasan Industri
597;21;71;ZHENG GUANG FA;KAWASAN INDUSTRI SEKUPANG SELURAHAN NO. 61;2171;[71] B A T A M;Kawasan Industri;Kawasan Industri Sekupang;Kawasan Industri
598;21;71;SHRITECH ENERGY INDONESIA;KAWASAN INDUSTRIAL SEKUPANG KAV. 17;;;;;Kawasan Industri
599;21;71;NANYANG PRECISION TECHNOLOGY;;;;;;Kawasan Industri
600;21;71;MICRO TECH CNC ENGINEERING;;;;;;Kawasan Industri
601;21;71;LACROSS ARTIFICIAL LIFT;KAWASAN INDUSTRI PANBIL FACTORY TYPE B2A LOT 09;;;;;Kawasan Industri
602;21;71;ARK ENGINEERING INDONESIA;;;;;;Kawasan Industri
603;21;71;XTONG TECH INDONESIA;"""""JL. HANG KESTURI, KAWASAN INDUSTRIAL TAIWAN INTE";;;;;Kawasan Industri
604;21;71;TWINWOOD SOLAR INDONESIA;;;;;;Kawasan Industri
605;21;71;INFINITE TECH BATAM;;;;;;Kawasan Industri
606;21;71;BLUE SKY SOLAR INDONESIA;KAWASAN INDUSTRI SEI PELUNGGUT DAPUR 12;;;;;Kawasan Industri
607;21;71;BATAM SIMCO IND MANUFACTURING;JL. BRIGJEN KATAMSO KM.18 KAWASAN INDUSTRI;;;;;Kawasan Industri
608;21;71;APOLLO SOLAR INDONESIA;WIRARAJA INDUSTRIAL PARK BLOK B NO 7-8;;;;;Kawasan Industri
609;21;71;HESHENG INDUSTRY ELECTRONIC INDONESIA;KAWASAN INDUSTRI TUNAS KABIL TYPE 8-A DAN 8-B;;;;;Kawasan Industri
610;21;71;TESE MANUFACTURING INDONESIA, PT;JALAN BERINGIN LOT 1, BATAMINDO INDUSTRIAL PARK;;;;;Kawasan Industri
611;21;71;DUOMAX SOLAR INDONESIA, PT;;;;;;Kawasan Industri
612;21;71;PT TEIGNBRIDGE PROPULSION ASIA;PURI INDUSTRIAL PARK 2000 BLOK D NOMOR 12, DESA/KELURAHAN BALOI PERMAI, KEC. BATAM KOTA, KOTA BATAM, PROVINSI KEPULAUAN RIAU, KODE POS: 29431;;;;;Kawasan Industri
613;21;71;PRO TECH FASTENER;;;;;;Kawasan Industri
614;21;71;HONGYUAN ALMUNIUM GROUP;KAWASAN INDUSTRI SEKUPANG KAV. 44;;;;;Kawasan Industri
615;21;71;FUJITECH INDUSTRY INDONESIA;;;;;;Kawasan Industri
616;21;71;EVERICH GLOBAL DEVELOPMENT INDONESIA;KAWASAN INDUSTRI HORIZON BLOK C NO.06;;;;;Kawasan Industri
617;21;71;BATAM BUMI ASIA;KAWASAN INDUSTRI SEKUPANG KAVLING 13,14/JALAN RAYA;;;;;Kawasan Industri
618;21;71;DHARMAWANGSA MAHKOTA SEJAHTERA;KAWASAN INDUSTRI TUNAS 2, BLOK A NO. 03, JALAN RAJ;;;;;Kawasan Industri
619;21;71;ZHAO YUAN INDOTOBACCO;;;;;;Kawasan Industri
620;21;71;HONGFU TECHNOLOGY INDUSTRY;;;;;;Kawasan Industri
621;21;71;BUANA RAYA INTERNATIONAL;KAWASAN INDUSTRI TUNAS KABIL TYPE 5-C;;;;;Kawasan Industri
622;21;71;TREE NUT ASIA;;;;;;Kawasan Industri
623;21;71;VECTOR ENGINEERING INDONESIA;KAWASAN INDUSTRI TERPADU KABIL KAVLING 1-5, JALAN;2171;[71] B A T A M;Kawasan Industri;Kawasan Industri Terpadu Kabil;Kawasan Industri
624;21;71;VERSINDO MANUFACTURING INDONESIA;;;;;;Kawasan Industri
625;21;71;PT ORACLE GLOBAL SERVICES;GEDUNG A, B DAN C KEK NONGSA, JALAN HANG LEKIU KM. 2 TELUK MATA IKAN;2171;[71] B A T A M;Kawasan Ekonomi Khusus;Nongsa;Kawasan Ekonomi Khusus
626;21;71;NAIXIN TECHNOLOGY INDONESIA, PT;;;;;;Kawasan Industri
627;21;71;GOLDEN EUCALYPTUS TECHNOLOGY INDONESIA;KAWASAN INDUSTRI TUNAS KABIL TYPE 6-C;;;;;Kawasan Industri
628;21;71;YAJING PRECISION MANUFACTURING;;;;;;Kawasan Industri
629;21;71;HUANYU PACKAGING PRODUCTS BATAM;KAWASAN INDUSTRI SEI PELUNGGUT DAPUR 12;;;;;Kawasan Industri
630;21;71;ALLIANZ SOLAR INDONESIA;KAWASAN INDUSTRI PT. BODYNITS INTERNATIONAL INDONESIA;;;;;Kawasan Industri
631;21;71;CINDERELLA, PT;;;;;;Kawasan Industri
632;21;71;COLAMAS INDAH SEJATI, PT;;;;;;Kawasan Industri
633;21;71;DYNACAST INDONESIA, PT;;;;;;Kawasan Industri
634;21;71;EPCM SDJ;;;;;;Kawasan Industri
635;21;71;GEFLEX INDONESIA, PT;SARANA INDUSTRIAL POINT BLOK A NO.11;2171;[71] B A T A M;Kawasan Industri;Sarana Industrial Point;Kawasan Industri
636;21;71;GIH, PT;;;;;;Kawasan Industri
637;21;71;IMRON ALI;;;;;;Kawasan Industri
638;21;71;ITECO SUPPLY;;;;;;Kawasan Industri
639;21;71;JOE GREEN;;;;;;Kawasan Industri
640;21;71;NICO DRILLING;;;;;;Kawasan Industri
641;21;71;NUSA SOLAR INDONESIA;KAWASAN INDUSTRI TERPADU KABIL (KITK), JL. MAS SURYA NEGARA VIII NO. 10;2171;[71] B A T A M;Kawasan Industri;Kawasan Industri Terpadu Kabil (KITK);Kawasan Industri
642;21;71;PRINCETON DIGITAL GROUP BATAM, PT;NONGSA DIGITAL PARK, JALAN HANG LEKIU KM 2, KOTA BATAM, PROVINSI KEPULAUAN RIAU 29465;2171;[71] B A T A M;Kawasan Ekonomi Khusus;Nongsa;Kawasan Ekonomi Khusus
643;21;71;PT. BINTAN INTI INDUSTRIAL ESTATE (#28);;;;;;Kawasan Industri
644;21;71;SMOE INDONESIA, PT;;;;;;Kawasan Industri
